SMILES,NLL
CCCCN1=C(C)c2cccc[c-]2->[Nb+5]<-12(<-[O-]c1c(C(C)C)cccc1C(C)C)<-N(=C(C)C=C(C)[N-]->2c1c(C(C)C)cccc1C(C)C)c1c(C(C)C)cccc1C(C)C,30.18
Cc1ccc([CH]->[Re+3](<-[Cl-])(<-[N-2]c2ccc(C)cc2)(<-P(c2ccccc2)(c2ccccc2)c2ccccc2)(<-P(c2ccccc2)(c2ccccc2)c2ccccc2)<-P(c2ccccc2)(c2ccccc2)c2ccccc2)cc1,26.19
CC(C)c1cccc(C(C)C)c1-[n+]1n[n-](->[Zn+2](<-[Cl-])<-[Cl-])c(-c2ccccc2)c1-c1ccc(C(C)(C)C)cc1,28.35
Cc1ccn(->[Pt+2](<-[Br-])(<-[c-]2c(F)c(F)c(F)c(F)c2F)<-P(C)(C(C)(C)C)C(C)(C)C)cc1,24.56
[O+]#[C-]->[OsH+5](<-[Cl-])(<-NCCc1ccccc1)(<-P(c1ccccc1)(c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,25.53
Cc1cccc2[N-](c3c(C(C)C)cccc3C(C)C)->[Rh+5]345(<-O=[B-](Cl)Nc6ccccn->36)(<-[O-]c3c(C=N->4CCN->5c4c(C(C)C)cccc4C(C)C)cccc3N3CCCCC3)<-[Se]c12,69.83
CC1c2ccccn2->[Pd+2](<-N=1c1ccccc1O)(<-n1cc[nH]c1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,30.22
Fc1ccc2c(c1)[nH]cn2->[Pt+2](<-[Cl-])(<-P(c1ccccc1)(c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,25.45
CC(C)(C)P1(CP(C(C)(C)C)(C(C)(C)C)->[Pt+2]<-1(<-[c-]1ccccc1)<-n1ccccc1)C(C)(C)C,24.54
CC1=N2->[Fe+2]345(<-[N-2][N+]#N)<-N(=C1C)C(C)(C)CC(C)(C)N->3(CN->4CCO)CCN->5CCC2,47.06
Cc1cc(C(C)c2ccccc2)c(N2C=CN(c3c(C(c4ccccc4)c4ccccc4)cc(C)cc3C(c3ccccc3)c3ccccc3)[C]2->[Rh+]234(<-[Cl-])<-C5=C->2CCC->3=C->4CC5)c(C(c2ccccc2)c2ccccc2)c1,21.57
O=[N-]->[Sc+3]12345(<-[S-]C(=[Se-]->1)N1CCC(c6ccc(F)cc6)(c6ccc(Cl)cc6)CC1)<-c1c->2c->3[cH-]->4c->51,42.8
O=S1(=O)CCCC([PH]2(CN3=C4C=CC=CC4=[C-]4<-[S-]c5ccccc5C2=N2CCC[Pt+2]<-4<-3<-2)C2CCCCC2)C1,48.35
O->[Ni+2]1(<-[Br-])(<-[Br-])<-n2ccccc2N->1c1cccc(-c2ccccc2)n1,30.0
CC(C)c1cccc(C(C)C)c1N1c2ccccc2N(C(C)c2ccccc2)[C]1->[Cu+]<-[n-]1c2ccccc2c2ccccc21,21.78
Cc12->[Zr+4]3456789%10(<-N(=C[N-]->3c3ccccc3)c3ccccc3)(<-c1(C)c->4(C)[c-]->5(C)c->62C)<-c1(C)c->7(C)c->8(C)[c-]->9(C)c->%101C,24.78
CC1[N-]C2=C3CCCCCC3=S->N3=C(c4cccc5C[N-]6C(C)(C)C[n+]7ccccc7C7=CC=CC8=N9->[La+3]<-3<-6%10(<-[N-2]c54)(<-[O-]c3cccc4cccn->%10c34)(<-N(=C89)C=CC=C7)<-[N-]2<-S=1)N([O-])C(C)(C)C,77.52
C1=CN(C2CCCCC2)[C](->[Au+]<-[C]2N(C3CCCCC3)C=CN2C2CCCCC2)N1C1CCCCCCC1,16.74
C1=C[NH-]->[Co+3]234(c5ccccc5[N-]->2c2ccccc2[N-]->3[N-]->4C=1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,34.21
COc1ccc(C[CH-]2C3=C->[RuH+]<-3<-2(<-[n-]2cccn2)(<-P(c2ccccc2)(c2ccccc2)c2ccccc2)<-P(c2ccccc2)(c2ccccc2)c2ccccc2)cc1,33.99
CC(C)P1(CCP(C)(C)->[Re+]<-12(<-[C-]#[O+])(<-[C-]#[O+])<-C1=C->2CCCCCC1)C(C)C,25.02
O=c1cccc2P(c3ccccc3)(C3CCCCC3)->[Ni+2]3(<-[n-]21)<-P(CCC(C[PH](=O)O)CP->3(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,32.62
Cc1ccc(-c2cc(C)cc(C)c2N2=C(C=N(c3c(C)cc(C)cc3C)->[Zn+2]<-2(<-[CH3-])<-[Cl-])c2cccc(-c3c(C)cc(C)cc3C)c2)cc1,30.79
Cc1ccccc1NC(=O)c1ccccc1[S-]->[Pd+2](<-[c-]1ccccc1)(<-[n-]1cccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,30.47
[Cl-]->[Au+3]1(<-[Cl-])<-P(CCP->1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,18.51
[Cl-]->[Ti+4](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-[Se]=c1[nH]nc2ccccn12)<-O1CCCC1,25.73
CC1=N[Si](c2ccccc2)(c2ccccc2)->[Ru+2]2(<-N(=C1C(F)(F)F)c1ccc(F)cc1)(<-[C-](F)(F)F)<-P(CCCP->2(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,41.58
CN1CCNC1=S->[Ni+2](<-[Cl-])(<-[Se-]c1ccc(Cl)cc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,25.35
C[Si](C)(C)C#[C-]->[Rh+]1(<-[C]2N(C3CCCCC3)C=CN2C2CCCCC2)<-[C](N2CCCCC2)N(C2CCCCC2)[I-]->1#[O+],38.61
CC(C)(C)[N-2]->[Pt+4]1(<-[Br-])(<-[O-]c2cccc3cccn->1c23)(<-n1ccccc1)<-n1ccccc1,32.34
O=S(O)(=Nc1cccc2-c3ccccn3->[Fe+4]3(<-[Cl-])(<-[Br-])(<-n4ccccc4-c4ccccn->34)<-n12)c1ccc(N([O-])[O-])cc1,38.26
Cc1ccc([N+]#[C-]->[Pt+4]23(<-[Br-])(<-[Br-])(<-[I-])(<-[C-]#[N+]c4ccc(F)cc4)<-S=C(C(=S->2)->[Mn+3]<-32<-Cc3ccccc3[O-]->2)C(F)(F)F)cc1,67.6
CN1c2ccccc2N(C)[C]1->[Rh+](<-[Cl-])(<-[C-]#[O+])<-[C-]#[O+],15.58
CCCCN1c2ccccc2N(CCc2ccccn2)[C]1->[Cr](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-n1ccccc1,25.84
Cc1cc(C)c(N2C=CC=C3N4C=CN(c5c(C)cc(C)cc5C)[C]4->[Ir+]456(<-[C]32)<-C2=C->4CCC->5=C->6CC2)c(C)c1,17.71
Cc1ccn(->[Cd+2]23(<-[O-]C(=O)C=Cc4ccc(O)c(O)c4)(<-[O-]C(=O)c4cc(N([O-])[O-])ccc4O)<-n4ccccc4CN->2Cc2ccccn->32)cc1,39.95
[Br-]->[Ru+2]1234(<-c5c->1c->2[cH-]->3c->45)(<-P(c1ccccc1)(c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,17.6
CC(C)(C)C1CN(CC2N(C(C)(C)C)C3(=C4[O-]->[Ta+]<-4<-1<-325(<-[C-]#[O+])<-n1c([PH](C)(C)C)s[c-]->51C)C(C)(C)C)C(C)(C)C,57.19
CCP(CC)(CC)->[Pt+2]1(<-P(CC)(CC)CC)<-P(CC)(CC)CCP->1(CC)CC,14.66
CC1=CC=[C-]->[Ru+2]2345(<-[C-]#[O+])(<-[C-]#[O+])(<-c6c->2c->3[cH-]->4c->56)<-[N-]1C,25.03
S=C=[N-]->[Cu+](<-[N-]=C=S)(<-n1ccccc1)(<-n1cccc(Cl)c1)<-n1ccnc(Cl)c1,24.3
CO->[Sc+7]123(<-[O-2])(<-[O-][O-]->1)(<-[O-]C(C)[N-]->2C1CCCCC1N([O-])[O-])<-n1ccccc1-c1ccccn->31,44.81
O=C1[O-]->[Zn+2]234<-[O-]C(=O)C(C1C(=O)C([O-]->2)c1cccc(O)c1O)N->3=Cc1cc(Br)ccc1[O-]->4,45.01
CCc1cc2P(c3ccccc3)(c3ccccc3)->[Ni](<-[C-]#[O+])(<-P(c3ccccc3)(c3ccccc3)c3ccccc3OCC(=O)O)<-[PH](O)(=Cc2s1)OC,45.49
F[C-]1(F)P(c2ccccc2)(c2ccccc2)=N2CCN3c4ccccc4[S-]->[Ni+2]<-2<-3<-1,35.25
O=S1(=O)CP(Oc2ccccc2)(Oc2ccccc2)->[Rh+]234(<-[O-]1)<-C1=C->2CCC->3=C->4CC1,28.92
CCN(CC)C1NN2=Cc3c([O-]->[Pd+2]<-24(<-[O-]C(O)Cc2cccc(C)n->42)<-S=1)c([N+]([O-])=S)cc1ccccc31,59.1
Cc1ccc(N2CC(C(C)(C)C)N(C)(C)->[Mo+6]3(<-[Br-])(<-[Br-])(<-[Br-])<-O=C2c2ccccc2C=N->3C2CCCCC2)cc1,34.42
Cc1cc(C)c(N(=O)->[Pd+2](<-[Cl-])(<-[c-]2c3c4cccc3c(-c3cc(Cl)cc5cccnc35)c3cc(C)cc(c32)CC4)<-P(C)(C)C)c(C)c1,50.45
COc1cc(Br)cc2[S-]->[V+5]3(<-[O-2])(<-[O-2])(<-[O-]c4c(Br)cccc4C=N->3[O-])<-[O-]c12,34.32
[Cl-]->[Pt+2]1(<-[Cl-])<-N2Cc3ccccc3C3C2CCCN->13,21.4
COc1cc2[O-]->[Mn+3]34(<-[N-]=C=S)(<-[O-]c5c(CN->3Cc3c6ccccc6cc[c-]->43)cc(C(C)(C)C)cc5C(C)(C)C)<-[O-]c2c(C(C)(C)C)c1,35.32
[CH2-]C(C)(C)C1=[C-](c2ccccc2)->[Ru+2]<-1(<-[Cl-])(<-P(C(C)C)(C(C)C)C(C)C)<-P(C(C)C)(C(C)C)C(C)C,31.24
Cc1ccc(C)[n-]1->[Ni+2]1(<-[O-]C2=C3<-[n-]4cccc4C(=C2Oc2ccccc2OP->1(c1ccccc1)O3)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,40.27
C=CCn1c(CC)nn(->[Zn+2](<-[Cl-])(<-[Cl-])<-n2c(C#N)c(N)n(CCS(=O)(=O)CC)c2C)c1C,29.09
Cc1nc(CN2=Cc3cc(C(C)(C)C)cc(N([O-])[O-])c3[O-]->[Zr+4]<-23(=Cc2cc(C(C)(C)C)cc(C(C)(C)C)c2[O-]->3)(<-[O-]c2c(C(C)C)cccc2C(C)C)<-[N-](C)C)cc(C(C)C)n1,43.77
[O+]#[C-]->[Ru+2]12(<-[Cl-])(<-O=C(C=[C-]->1c1ccccc1)c1ccccc1)<-P(CP->2(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,29.19
CCCCCCSC1=NN(C(C)(C)C)[C](->[Pd+2](<-[I-])(<-[I-])<-n2c(C)cc(C)cc2C)N1C,28.77
CC(=O)Nc1ccccc1SCCCN1C=CN(C)[C]1->[Ir+]123(<-[Cl-])<-C4=C->1CCC->2=C->3CC4,26.61
c1ccn2->[Ir+3]34(<-[c-]5ccsc5-c2c1)(<-n1ccccc1-c1ccccn->31)<-n1ccccc1-c1sc2ccccc2n->41,25.18
O=C1[O-]->[Os+2]2(<-O)(<-O)(<-O)<-n3ccccc3C(=O)c3cccc1n->23,29.22
[O-2]->[Mo+6]12(<-[Cl-])(<-O=C(C#Cc3ccccc3)c3ccccc3)<-[O-]c3ccccc3C=N->1OC([O-]->2)c1ccccc1,39.2
CC(C)(C)C1([O-]->[C](N(Cc2ccccc2)O[Si]1(C)C(C)(C)C)->[Ir+3]1234(<-[Cl-])(<-[Cl-])<-c5(C)c->1(-c1ccccc1)c->2(C)[c-]->3(C)c->45C)C(F)(F)F,45.52
N#Cc1ccc2C(=O)[O-]->[Ru+2]3(<-n2c1)(<-S(CC(=O)O)CC(=O)O)(<-S(CCS->3c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccn1,51.42
Cn1ccn2->[Re+](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-n3cccn3Cc12)<-[N-]1C(=O)c2ccccc2S1(=O)=O,25.47
CC(C)(C)NC1=NC(c2ccncc2)=N(NC(=O)c2ccccc2)->[Zn+2](<-[Cl-])(<-[Cl-])<-N=C1NCCc1ccccc1,41.36
CN1(C)Cc2ccccc2C=N(C2CCOC2Cn2cccn2)->[Zn+2]<-1(<-[Cl-])<-[Cl-],39.07
CC(C)c1cccc(C(C)C)c1N1CCN(c2c(C(C)C)cccc2C(C)C)[C]1->[Ni+2](<-[CH3-])<-n1ccccc1,19.37
CC(C)(C)c1ccn2->[Ti+4]3(<-[O-2])(<-[Cl-])(<-[O-]C(=O)c2c1)<-[O-]P(Oc1ccccn->31)C(C)(C)c1ccccc1,37.86
C[n+]1ccccn1->[Fe+2](<-[N-]=O)(<-n1ccccc1N)<-[N-](C)C,35.75
CC(C)(C)N1C=CN2C=N(C(C)(C)C)->[Ni+2](<-[CH3-])(<-[Cl-])<-[C]21,23.16
CC(C)(C)N=C=[N-]->[Co+3]12(<-[O-]N=P[N-]->1c1ccccc1)<-N(=Cc1ccccc1C(c1ccccc1)=N->2c1ccccc1)c1ccc(C#Cc2ccccc2)cc1,48.33
CCP(CC)(CC)->[Pt+2]1(<-[CH2-]C(C)(C)C)<-P(CCP->1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,20.43
[O-]N([O-])c1ccc2[O-]->[Zn+2]3456<-NCCN->3CCCN->4CCN->5CCCN->6=Cc2c1,27.2
Cn1ccn2->[Pd+2](<-[Cl-])(<-[Cl-])<-N(N=C(N)c12)c1nc(N)nc([S-])n1,27.66
CC#N->[Hg+2]<-[c-]1ccccc1,14.69
[Cl-]->[Pd+2]1(<-[Cl-])<-P(CCCP->1(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,14.42
NC(N)=S->[Ag+](<-[Cl-])<-P(c1ccccc1)(c1ccccc1)c1ccccc1,17.34
C#Cc1ccc2c(c1)N(C(C)C)[C]1->[Pt+2](<-[Br-])(<-[C-]#Cc3cnc4ccccc4c3)<-n3cccn3-c3c(N21)ccc(C)c3C,47.49
CC1Cc2ccccn2->[Cu+](<-[c-]2ccccc2)(<-N=1c1c(C(C)C)cccc1C(C)C)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,24.09
[Cl-]->[W+2]12(<-[Cl-])(<-[N-]Cc3ccccc3)<-n3ccccc3-c3cccc(-c4ccccn->14)n->23,25.77
CCNC1N=C(C(C)=O)[N-](c2ccccc2)->[Ir+3]2345(<-[Cl-])(<-S=1)<-c1(C)c->2(C)c->3(C)[c-]->4(C)c->51C,24.83
Cc1cc(C)n(->[W](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+])[nH]1,14.44
CC1c2ccccc2[O-]->[Ni+2]2(<-[Cl-])(<-[c-]3c(C=N->2Cc2ccccn2)cccc3-c2nnc3ccccn23)<-N=1CCCN(C)C,39.6
Cc12->[Co+3]3456(<-[Cl-])(<-[c-]7ccccc7-c7ccccn->37)<-c1(C)c->4(C)[c-]->5(C)c->62C,19.28
CCc1cccc(CC)c1[N-](P(CC)c1ccccc1)->[Zn+2](<-[Cl-])(<-n1ccccc1)<-O1CCCC1,37.13
[Cl-]->[Zn+2](<-[Cl-])<-S=C1NCCCN1,18.03
CC(C)c1cccc(C(C)C)c1-n1c2C3=[C-](->[Au+3](<-[CH3-])(<-[CH3-])<-n2c2ccccc21)CCCC3,28.49
CC#N->[Ru+2]123(<-[S-]c4ccccc4[As]->1(CCP->2(c1ccccc1)c1ccccc1)c1ccccc1)<-P(CCP->3(c1ccccc1)c1ccccc1)(c1ccccc1)c1ccccc1,32.28
[O+]#[C-]->[Re+]1(<-[C-]#[O+])(<-[N-]=C=S)(<-NCCN->1)<-NCCc1ccccn1,25.75
CC(C)c1cccc(C(C)C)c1N1[C](->[Au+]<-N2=C(N)OCC2)CCC1(C)C,23.8
c1ccc(P(c2ccccc2)(c2ccccc2)->[Rh+]234(<-[c-]5ccccn5)<-C5=C->2C2CC5C->3=C->42)cc1,22.9
CCN->[Ti+4](<-N#CN1CCCC1)(<-[N-2][N+]#N)(<-[N-2][N+]#N)(<-[N-2][N+]#N)(<-NCC)<-NCc1ccccc1,37.61
CC(C)N(C(C)C)C1([O-])=C2[CH2-]->[Co+]<-2<-1(<-N1CCCC1)<-P(C)(C)C,37.9
CC(C)c1cccc(C(C)C)c1N1C=CN(c2c(C(C)C)cccc2C(C)C)[C]1->[Zn+2](<-[Br-])(<-[Br-])<-[C-](F)(F)F,20.86
[Br-]->[Pd+2]1(<-[Br-])<-n2cn(Cc3ccccc3)c3c2-c2cccc(n->12)C=C3,26.33
Cc1cc(C)c2[O-]->[Co+3]34(<-[Cl-])(<-[O-]c5ccccc5C=N->3c3ccccc3)<-N(=Cc3ccco3)CCN->4=Cc2c1,34.5
CC(=O)C=C(C)N1CC[N-]2->[Zn+2]34<-[N-]=[SH][N-]->3C=CN4C=C3C=C(C)C(=[N+](C)C)C=C2C1=C3,52.57
CC1[Si](C)(C)[c-]23->[Fe+2]456(<-[C-]#[O+])(<-[C-]#[O+])(<-c(c->4c->52C)c->63)<-P1(c1ccccc1)c1ccccc1,23.31
CC1=C(C)[N-](C)->[Co+3]23(<-N1=O)<-N(=C(C)N[N-]->2C(=O)[N-]->3C(C)C)C(C)C,42.58
COP1(OC)ON(=C2<-N=C(c3ccccc3)c3ccccc32)->[Mn+]<-1234(<-[C-]#[O+])<-N(c1ccc(Cl)cc1)[Si](C)(C)CP->2(C1=C(c2ccccc2)P->3(CCP->4(c2ccccc2)c2ccccc2)C=CC=C1)c1ccccc1,62.12
NC(=O)c1cc[nH]n1->[Fe+2](<-[O-2])(<-[I-])(<-n1ccncc1)<-n1ccc[nH]1,34.18
CC(C)(C)P1(Cc2cccc3OP(C(C)(C)C)(C(C)(C)C)->[Mo+2]<-1(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[c-]23)C(C)(C)C,24.49
CC(C)C1=[C+](->[Zr+4](<-[CH3-])(<-[Cl-])(<-[N-]=Nc2ccccc2)<-[Si-](C)(C)c2ccccc2)C=C(C(C)(C)C)C=C1OC(=O)C(C)(C)C,44.72
COc1ccc([C-3]->[Nb+3](<-[C-]#[O+])(<-[O-]S(=O)(=O)C(F)(F)F)(<-C(C)=C2CC(C)(C)OC2=O)(<-P(C)(C)C)<-P(OC)(OC)OC)cc1,51.69
Cc1ccc(C=CC(=O)c23->[W]456(<-[C-]#[O+])(<-[C-]#[O+])(<-c(c->4c->52C)[cH-]->63)<-P(c2ccccc2)(c2ccccc2)c2ccccc2)cc1,34.02
CC(C)c1cccc(C(C)C)c1[O-]->[W+4]12(<-[Cl-])(<-[Cl-])<-[O-]c3c([C]->1[O-]->2)cc(C(C)(C)C)cc3C(C)(C)C,29.6
[O+]#[C-]->[Fe](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-P(c1ccccc1)(c1ccccc1)c1ccccc1,12.91
[Cl-]->[Ni+2]12<-N(CCCN->1c1ccccc1)=C(c1ccccc1)c1ccccn->21,23.66
CCn1cc(C#CC(C)(C)C)c2cc3c1cc2cc1ccccc1[c-]3->[Ni+2](<-[I-])(<-[I-])<-P(c1ccccc1)(c1ccccc1)c1ccccc1,42.7
CC(C)(C)c1ccn([B-]2(c3ccccc3)CSc3c(N->[Pt+2]45<-[c-]6c(CCc7ccccn->47)cccc6-c4n(-c6ccccc6)c6ccccc6n->54)nnn32)n1,52.89
Cc1ccc2[N-]([Si](C(C)C)(C(C)C)C(C)C)->[Pt+2]3(<-[c-]4ccc(C)cc4-c4cc(C)ccn->34)<-P(c2c1)(C(C)C)C(C)C,23.9
CN(C)c1cc(I)cc(C(c2ccc(F)cc2)c2ccc(F)cc2)c1N1=CCc2cccc[c-]2->[Zn+2]<-1(<-[Cl-])<-[Cl-],36.21
CCO[C](N=c1cc(C)c(C)n[nH]1)(N(C)C)->[Co+]1(<-[C-]#[O+])(<-[CH]C(C)(C)C)<-P(c2cc(C)cc(C)c2SC[PH]->1(=C(C)C)c1ccc(C)cc1)(C(C)C)C(C)C,67.26
C1C[S-]->[ZrH+5]23456789(<-[S-]1)(<-c1c->2c->3[cH-]->4c->51)<-c1c->6c->7[cH-]->8c->91,22.13
C1=Cc2c(-c3ccccc3)c3ccc2=C(c2ccccc2)C2=N4->[Ni]56<-N7=C(C=CC7=C(c7ccccc7)C(c7ccccc7)=N->5C(=C1c1ccccc1)N->6=3)C(c1ccccc1)=C4C=C2,23.36
CP(C)(c1ccccc1)->[Ni](<-P(C)(C)c1ccccc1)(<-P(C)(C)c1ccccc1)<-P(C)(C)c1ccccc1,19.72
Cc1ccn2->[Re+](<-[Br-])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-n3ccc(C)cc3-c2c1,14.22
Cc1cc(C)n(->[Cd+2]23(<-NCCN->2)<-NCC(=O)[O-]->3)c(C)c1,27.95
C=Cc1ccn(->[Zn+2](<-[Cl-])(<-[I-])<-n2ccc(C=C)cc2)cc1,16.23
CC#N->[Tc+]1(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[C]2N(C)C=CN2c2cccnc2N1C,28.13
COc1ccccc1N1=Cc2sccc2P(c2ccccc2)(c2ccccc2OC)->[NiH+]<-12<-P(CCP->2(c1ccccc1)N1COc2ccccc2C1)(c1ccccc1)c1ccccc1,48.37
Cc1ccc(C)[n-]1->[Mo+4](<-[Cl-])(<-[Cl-])(<-[CH]c1ccccc1)<-[O-]c1c(-c2ccccc2)cccc1-c1ccccc1,29.85
CCN(CC)CCN12Cc3ccccn3->[Os+2]<-1(<-[Cl-])(<-[Cl-])(<-n1ccccc1C2)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,32.66
CC1(C)O[C](->[W](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[O+])OC1(C)C,13.63
[O+]#[C-]->[Cr](<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-[C-]#[N+]C#Cc1ccccc1,16.14
C[n+]1ccc2ccc3ccccc3p21->[Au+]<-[C-]#Cc1ccc(C#N)cc1,37.09
Fc1ccc(C#[C-]->[Pt+2]2(<-[c-]3c(F)c(F)c(F)c(F)c3F)<-n3ccccc3-c3ccccn->23)cc1,22.83
CC1C=C(c2ccc(Br)cc2)c2ccc[n-]2->[Ru+2]2(<-[Cl-])(<-N(=CC(C)(C)C)CCN->2=1)(<-P(c1ccccc1)(c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,29.93
O=C1[O-]->[Co+3]234(<-NCCN->2(CCN->3)CCN->4)<-[O-]1,15.6
CC1c2cc(O)[c-]3->[Y+5]4567(<-[O-]c8ccc(Cl)cc8CN->4CCN->5CCN->6CCCN->7=1)<-[O-]c1cccc2c13,50.08
N#C[NH-]->[Pd+2](<-[Br-])(<-[Br-])<-[C]1N(Cc2ccccc2)c2ccccc2N1C(=NNC(=O)c1ccccc1)c1ccccc1,34.03
CCP(CC)(CC)->[IrH2+](<-P(CC)(CC)CC)(<-P(CC)(CC)CC)<-[As](CC)(CC)CC,19.8
C[O-]->[Re+7]1(<-[O-2])(<-[O-2])(<-[O-2])<-O=c2cccc[n-]->12,26.45
CN(C)C(=O)[S-]->[Au+]<-P(C1CCCCC1)(C1CCCCC1)C1CCCCC1,18.04
[O+]#[C-]->[W+4]12(<-[C-]#[O+])(<-[C-]#[O+])<-n3cccn3[BH-](n3cccn->13)n1cccn->21,17.02
Cc1cccc2CN->[Pd+2](<-[Cl-])(<-[Cl-])<-n12,17.78
Cc12->[Rh+3]3456(<-[Cl-])(<-NC(Cc7ccccc7)CN->3(C)C)<-c1(C)c->4(C)[c-]->5(C)c->62C,20.51
CC(C)N->[Ni+2]12(<-[Br-])<-[C]3C(CP->1(C(C)C)C(C)C)=CC=Cc1ccccc1N3CCP->2(C(C)C)C(C)C,42.48
[BH3-]C#N->[Ni+2]123(<-[Cl-])<-N4=C5C(c6ncccn->16)=N->2[N-]->3C=CC=[C-]C(=N4)C(Cl)=Nc1ccccc15,58.32
COc1ccc(N2C=NN(c3ccc(OC)cc3)[C]2->[Re+]2(<-[C-]#[O+])(C[PH](C)(CCP->2(c2ccccc2)c2ccccc2)OCCc2[c-]cccc2)(<-[C](OC)c2ccc(N(C)C)cc2)(<-n2ccc(N(C)C)cc2)<-P(NC(C)C)(NC(C)C)NC(C)(C)C)cc1,70.81
CNC(C)=[C]->[Ru+2]12345(<-[Cl-])(<-c6c->1c->2(C(C)C)c->3c->4c->56C)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,28.55
COC(=O)C1=C2C3=C4(<-C=C->[Fe]<-1<-2<-3<-4(<-[C-]#[O+])<-[C-]#[O+])OC,19.97
O=[N+]([O-])c1ccc(C#[C-]->[Os+2](<-[Cl-])(<-[C-]#[O+])(<-[C-]#[O+])(<-P(c2ccccc2)(c2ccccc2)c2ccccc2)<-P(c2ccccc2)(c2ccccc2)c2ccccc2)cc1,25.06
Cc1cccn2->[Pd+2](<-[Cl-])(<-[Cl-])<-N(=Cc12)c1c(C(C)C)cccc1C(C)C,20.04
CC(C)P1(c2ccccc2CCP(c2ccccc2)(c2ccccc2)->[Fe+2]<-12345(<-[C-]#[O+])<-c1(C)c->2(C)c->3(C)[c-]->4(C)c->51C)C(C)C,26.06
Cn1c2ccccc2c2-c3cc(C#N)c(C#N)nn3->[Re+](<-[Br-])(<-[C-]#[O+])(<-[C-]#[O+])(<-[C-]#[O+])<-n21,27.28
CC1c2ccccc2[CH2-]->[Rh+3]2345(<-[Cl-])(<-N=1c1ccc(C)cc1)<-c1(C)c->2(C)c->3(C)[c-]->4(C)c->51C,23.93
O->[Cu+](<-O)(<-[Br-])<-O1CCC[NH2+]C1,30.93
[I-]->[Hg+2]<-[c-]1cccc(C=Nc2ccccc2OCCN2CCCCC2)c1,28.07
N#[C-]->[Rh+3](<-[Cl-])(<-[Cl-])(<-[Cl-])(<-P(c1ccccc1)(c1ccccc1)c1ccccc1)<-P(c1ccccc1)(c1ccccc1)c1ccccc1,20.1
c1ccc(P2(CC[S-]->[Pd+2]<-23<-P(CCP->3(c2ccccc2)c2ccccc2)(c2ccccc2)c2ccccc2)c2ccccc2)cc1,21.48
[Cl-]->[Pd+2]12<-OCc3cccc(-c4ccc(-c5ccccc5)cc4-c4ccccn->14)n->23,27.6
CC1CO2CCP(C(C)C)(C(C)C)->[V+5]<-23(<-[O-2])(<-[O-2])(<-[O-][O-]->3)<-[O-]1,26.58
N#[N+][N-2]->[Ni+2]12(<-[N-2][N+]#N)(<-n3ccccc3NC(=O)S->1Cc1ccccc1)<-n1ccccc1-c1ccccn->21,35.2
CC(C)c1cccc(C(C)C)c1N1[C](->[Pd+2](<-[Cl-])(<-[Cl-])<-P(c2ccccc2)(c2ccccc2)c2ccccc2)C(C)(C)CC1(C)C,17.02
CC(C)(C)c1ccc2-c3cccc4-c5ccccc5P5(C)c6ccccc6-c6cccc[c-]6->[Ir+3]<-56(<-[O-]C(=O)[O-]->6)(<-[c-]2c1)<-[c-]43,37.11
[NH3+]CCN12CC(=O)[O-]->[Zn+2]<-13(<-[O-]Cc1ccccn->31)<-[O-]C(=O)C2,26.29
Cc1cc(C)c(-c2cn(-c3cccc(C)n3)n3->[Pd+2](<-[CH3-])(<-[Br-])<-[c-]23)c(C)c1,22.7
